Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,29.65,,,,
2005-01-04,2005-Q1,29.75,,,,
2005-01-05,2005-Q1,27.3,,,,
2005-01-06,2005-Q1,26.45,,,,
2005-01-07,2005-Q1,26.8,,,,
2005-01-10,2005-Q1,27.9,,,,
2005-01-11,2005-Q1,26.3,,,,
2005-01-12,2005-Q1,23.55,,,,
2005-01-13,2005-Q1,24.7,,,,
2005-01-14,2005-Q1,24.6,,,,
2005-01-17,2005-Q1,23.6,,,,
2005-01-18,2005-Q1,23.85,,,,
2005-01-19,2005-Q1,23.4,,,,
2005-01-20,2005-Q1,23.75,,,,
2005-01-21,2005-Q1,23.75,,,,
2005-01-24,2005-Q1,23.2,,,,
2005-01-25,2005-Q1,24.0,,,,
2005-01-26,2005-Q1,24.0,,,,
2005-01-27,2005-Q1,24.25,,,,
2005-01-28,2005-Q1,24.4,,,,
2005-01-31,2005-Q1,24.05,,,,
2005-02-01,2005-Q1,25.55,,,,
2005-02-02,2005-Q1,26.75,,,,
2005-02-03,2005-Q1,26.6,,,,
2005-02-04,2005-Q1,26.15,,,,
2005-02-07,2005-Q1,27.25,,,,
2005-02-08,2005-Q1,27.05,,,,
2005-02-09,2005-Q1,28.65,,,,
2005-02-10,2005-Q1,27.65,,,,
2005-02-11,2005-Q1,27.45,,,,
2005-02-14,2005-Q1,26.5,,,,
2005-02-15,2005-Q1,25.95,,,,
2005-02-16,2005-Q1,25.6,,,,
2005-02-17,2005-Q1,25.35,,,,
2005-02-18,2005-Q1,26.35,,,,
2005-02-21,2005-Q1,25.7,,,,
2005-02-22,2005-Q1,26.7,,,,
2005-02-23,2005-Q1,26.75,,,,
2005-02-24,2005-Q1,29.35,,,,
2005-02-25,2005-Q1,27.65,,,,
2005-02-28,2005-Q1,27.0,,,,
2005-03-01,2005-Q1,28.0,5.233644859813085,,,
2005-03-02,2005-Q1,27.4,5.121495327102804,,,
2005-03-03,2005-Q1,27.15,5.074766355140187,,,
2005-03-04,2005-Q1,26.7,4.990654205607477,,,
2005-03-07,2005-Q1,26.6,4.971962616822431,,,
2005-03-08,2005-Q1,26.25,4.906542056074767,,,
2005-03-09,2005-Q1,29.3,5.476635514018692,,,
2005-03-10,2005-Q1,32.9,6.149532710280374,,,
2005-03-11,2005-Q1,30.95,5.785046728971963,,,
2005-03-14,2005-Q1,29.25,5.4672897196261685,,,
2005-03-15,2005-Q1,29.2,5.4579439252336455,,,
2005-03-16,2005-Q1,27.5,5.140186915887851,,,
2005-03-17,2005-Q1,27.6,5.158878504672898,,,
2005-03-18,2005-Q1,27.3,5.102803738317758,,,
2005-03-21,2005-Q1,27.35,5.112149532710281,,,
2005-03-22,2005-Q1,25.8,4.822429906542056,,,
2005-03-23,2005-Q1,24.3,4.542056074766355,,,
2005-03-24,2005-Q1,24.05,4.4953271028037385,,,
2005-03-25,2005-Q1,24.05,4.4953271028037385,,,
2005-03-28,2005-Q1,25.8,4.822429906542056,,,
2005-03-29,2005-Q1,23.8,4.4485981308411215,,,
2005-03-30,2005-Q1,25.25,4.719626168224299,,,
2005-03-31,2005-Q1,25.4,4.747663551401869,,,
2005-04-01,2005-Q2,26.35,4.925233644859814,,,
2005-04-04,2005-Q2,26.9,5.02803738317757,,,
2005-04-05,2005-Q2,26.25,4.906542056074767,,,
2005-04-06,2005-Q2,26.6,4.971962616822431,,,
2005-04-07,2005-Q2,27.05,5.056074766355141,,,
2005-04-08,2005-Q2,27.1,5.065420560747664,,,
2005-04-11,2005-Q2,26.0,4.85981308411215,,,
2005-04-12,2005-Q2,25.9,4.841121495327103,,,
2005-04-13,2005-Q2,25.85,4.83177570093458,,,
2005-04-14,2005-Q2,25.85,4.83177570093458,,,
2005-04-15,2005-Q2,25.15,4.700934579439252,,,
2005-04-18,2005-Q2,24.35,4.551401869158879,,,
2005-04-19,2005-Q2,24.55,4.588785046728972,,,
2005-04-20,2005-Q2,24.3,4.542056074766355,,,
2005-04-21,2005-Q2,24.6,4.598130841121496,,,
2005-04-22,2005-Q2,24.8,4.635514018691589,,,
2005-04-25,2005-Q2,26.2,4.897196261682243,,,
2005-04-26,2005-Q2,25.9,4.841121495327103,,,
2005-04-27,2005-Q2,25.15,4.700934579439252,,,
2005-04-28,2005-Q2,25.55,4.77570093457944,,,
2005-04-29,2005-Q2,28.7,5.364485981308412,,,
2005-05-02,2005-Q2,27.45,5.130841121495327,,,
2005-05-03,2005-Q2,26.55,4.962616822429907,,,
2005-05-04,2005-Q2,26.6,4.971962616822431,,,
2005-05-05,2005-Q2,26.65,4.981308411214953,,,
2005-05-06,2005-Q2,26.45,4.94392523364486,,,
2005-05-09,2005-Q2,26.8,5.009345794392524,,,
2005-05-10,2005-Q2,26.5,4.953271028037384,,,
2005-05-11,2005-Q2,26.45,4.94392523364486,,,
2005-05-12,2005-Q2,26.4,4.934579439252336,,,
2005-05-13,2005-Q2,26.3,4.91588785046729,,,
2005-05-16,2005-Q2,26.8,5.009345794392524,,,
